Product_Name,Comment_Count,Link
Samsung Galaxy M12 128 GB (Samsung Türkiye Garantili) Yeşil,6937,https://www.hepsiburada.com/samsung-galaxy-m12-128-gb-samsung-turkiye-garantili-yesil-p-HBCV000006SC7V
Samsung Galaxy M12 128 GB (Samsung Türkiye Garantili) Mavi,6937,https://www.hepsiburada.com/samsung-galaxy-m12-128-gb-samsung-turkiye-garantili-mavi-p-HBCV000006SC7U
Xiaomi Redmi 9c 64 GB (Xiaomi Türkiye Garantili) Siyah,6925,https://www.hepsiburada.com/xiaomi-redmi-9c-64-gb-xiaomi-turkiye-garantili-siyah-p-HBV00000YDZX8
Xiaomi Redmi 9c 64 GB (Xiaomi Türkiye Garantili) Mavi,6925,https://www.hepsiburada.com/xiaomi-redmi-9c-64-gb-xiaomi-turkiye-garantili-mavi-p-HBV00000YDZXC
Xiaomi Redmi 9c 64 GB (Xiaomi Türkiye Garantili) Turuncu,6925,https://www.hepsiburada.com/xiaomi-redmi-9c-64-gb-xiaomi-turkiye-garantili-turuncu-p-HBV00000YDZXD
Poco X3 Pro 8 GB Ram 256 GB (Poco Türkiye Garantili) Siyah,6669,https://www.hepsiburada.com/poco-x3-pro-8-gb-ram-256-gb-poco-turkiye-garantili-siyah-p-HBCV000005NHCM
Poco X3 Pro 8 GB Ram 256 GB (Poco Türkiye Garantili) Bronz,6669,https://www.hepsiburada.com/poco-x3-pro-8-gb-ram-256-gb-poco-turkiye-garantili-bronz-p-HBCV000005NHCO
Poco X3 Pro 8 GB Ram 256 GB (Poco Türkiye Garantili) Mavi,6669,https://www.hepsiburada.com/poco-x3-pro-8-gb-ram-256-gb-poco-turkiye-garantili-mavi-p-HBCV000005NHCN
Xiaomi Redmi Note 10 Pro 128 GB 8 GB RAM (Xiaomi Türkiye Garantili) Gri,6561,https://www.hepsiburada.com/xiaomi-redmi-note-10-pro-128-gb-8-gb-ram-xiaomi-turkiye-garantili-gri-p-HBCV000004YM97
Xiaomi Redmi Note 10 Pro 128 GB 8 GB Ram (Xiaomi Türkiye Garantili) Yeşil,6561,https://www.hepsiburada.com/xiaomi-redmi-note-10-pro-128-gb-8-gb-ram-xiaomi-turkiye-garantili-yesil-p-HBCV000023UTXN
Xiaomi Redmi Note 10 Pro 128 GB 8 GB RAM (Xiaomi Türkiye Garantili) Bronz,6561,https://www.hepsiburada.com/xiaomi-redmi-note-10-pro-128-gb-8-gb-ram-xiaomi-turkiye-garantili-bronz-p-HBCV000004YM9B
Xiaomi Redmi Note 10 Pro 128 GB 8 GB RAM (Xiaomi Türkiye Garantili) Mavi,6561,https://www.hepsiburada.com/xiaomi-redmi-note-10-pro-128-gb-8-gb-ram-xiaomi-turkiye-garantili-mavi-p-HBCV000004YM99
Samsung Galaxy S20 FE 256 GB Snapdragon (Samsung Türkiye Garantili) Mavi,6365,https://www.hepsiburada.com/samsung-galaxy-s20-fe-256-gb-snapdragon-samsung-turkiye-garantili-pm-HBC00000MQ88X
Reeder P13 Blue Max 2021 128 GB 4 GB Ram (Reeder Türkiye Garantili) Siyah,5874,https://www.hepsiburada.com/reeder-p13-blue-max-2021-128-gb-4-gb-ram-reeder-turkiye-garantili-siyah-p-HBCV00000CXC7I
Reeder P13 Blue Max 2021 128 GB 4 GB Ram (Reeder Türkiye Garantili) Beyaz,5874,https://www.hepsiburada.com/reeder-p13-blue-max-2021-128-gb-4-gb-ram-reeder-turkiye-garantili-beyaz-p-HBCV00000CXC7J
iPhone 13 256 GB Beyaz,5736,https://www.hepsiburada.com/iphone-13-256-gb-beyaz-p-HBCV00000ODHWC
iPhone 13 256 GB Kırmızı,5736,https://www.hepsiburada.com/iphone-13-256-gb-kirmizi-p-HBCV00000ODHWH
iPhone 13 256 GB Siyah,5736,https://www.hepsiburada.com/iphone-13-256-gb-siyah-p-HBCV00000ODHW6
iPhone 13 256 GB Yeşil,5736,https://www.hepsiburada.com/iphone-13-256-gb-yesil-p-HBCV00001TC5S9
iPhone 13 256 GB Mavi,5736,https://www.hepsiburada.com/iphone-13-256-gb-mavi-p-HBCV00000ODHWO
Samsung Galaxy A32 128 GB (Samsung Türkiye Garantili) Beyaz,5722,https://www.hepsiburada.com/samsung-galaxy-a32-128-gb-samsung-turkiye-garantili-beyaz-p-HBCV000005PKKH
Samsung Galaxy A32 128 GB (Samsung Türkiye Garantili) Mor,5722,https://www.hepsiburada.com/samsung-galaxy-a32-128-gb-samsung-turkiye-garantili-mor-p-HBCV000005PKCV
Samsung Galaxy A32 128 GB (Samsung Türkiye Garantili) Siyah,5722,https://www.hepsiburada.com/samsung-galaxy-a32-128-gb-samsung-turkiye-garantili-siyah-p-HBCV000005PKKF
Samsung Galaxy A32 128 GB (Samsung Türkiye Garantili) Mavi,5722,https://www.hepsiburada.com/samsung-galaxy-a32-128-gb-samsung-turkiye-garantili-mavi-p-HBCV000005PKKD
Reeder P13 Blue 16 GB 3 GB RAM (Reeder Türkiye Garantili) Mavi,5682,https://www.hepsiburada.com/reeder-p13-blue-16-gb-reeder-turkiye-garantili-pm-HB00000KJI10
iPhone 12 128 GB Siyah,5633,https://www.hepsiburada.com/iphone-12-128-gb-siyah-p-HBV00000YDZXK
iPhone 12 128 GB Mor,5633,https://www.hepsiburada.com/iphone-12-128-gb-mor-p-HBCV0000051OQX
iPhone 12 128 GB Kırmızı,5633,https://www.hepsiburada.com/iphone-12-128-gb-kirmizi-p-HBV00000YDZXM
iPhone 12 128 GB Yeşil,5633,https://www.hepsiburada.com/iphone-12-128-gb-yesil-p-HBV00000YDZXN
iPhone 12 128 GB Beyaz,5633,https://www.hepsiburada.com/iphone-12-128-gb-beyaz-p-HBV00000YDZXL
Oppo A74 128 GB (Oppo Türkiye Garantili) Mavi,5490,https://www.hepsiburada.com/oppo-a74-128-gb-oppo-turkiye-garantili-pm-HBC0000097C73
Samsung Galaxy A52 128 GB (Samsung Türkiye Garantili) Mavi,5378,https://www.hepsiburada.com/samsung-galaxy-a52-128-gb-samsung-turkiye-garantili-mavi-p-HBCV0000032V30
Samsung Galaxy A52 128 GB (Samsung Türkiye Garantili) Mor,5378,https://www.hepsiburada.com/samsung-galaxy-a52-128-gb-samsung-turkiye-garantili-mor-p-HBCV0000032V31
Samsung Galaxy A52 128 GB (Samsung Türkiye Garantili) Siyah,5378,https://www.hepsiburada.com/samsung-galaxy-a52-128-gb-samsung-turkiye-garantili-siyah-p-HBCV0000032V32
Samsung Galaxy A52 128 GB (Samsung Türkiye Garantili) Beyaz,5378,https://www.hepsiburada.com/samsung-galaxy-a52-128-gb-samsung-turkiye-garantili-beyaz-p-HBCV0000032V2Z
iPhone 12 64 GB Yeşil,5289,https://www.hepsiburada.com/iphone-12-64-gb-yesil-p-HBV00000YDZXH
iPhone 12 64 GB Siyah,5289,https://www.hepsiburada.com/iphone-12-64-gb-siyah-p-HBV00000YE302
iPhone 12 64 GB Mor,5289,https://www.hepsiburada.com/iphone-12-64-gb-mor-p-HBCV0000051OQV
iPhone 12 64 GB Beyaz,5289,https://www.hepsiburada.com/iphone-12-64-gb-beyaz-p-HBV00000YDZXF
iPhone 12 64 GB RED Special Edition,5289,https://www.hepsiburada.com/iphone-12-64-gb-red-special-edition-p-HBV00000YDZXG
iPhone 12 64 GB Mavi,5289,https://www.hepsiburada.com/iphone-12-64-gb-mavi-p-HBV00000YDZXI
Samsung Galaxy M22 128 GB (Samsung Türkiye Garantili) Siyah,5231,https://www.hepsiburada.com/samsung-galaxy-m22-128-gb-samsung-turkiye-garantili-siyah-p-HBCV00000SR026
Samsung Galaxy M22 128 GB (Samsung Türkiye Garantili) Mavi,5231,https://www.hepsiburada.com/samsung-galaxy-m22-128-gb-samsung-turkiye-garantili-mavi-p-HBCV00000SR027
iPhone 15 128 GB Siyah,4919,https://www.hepsiburada.com/iphone-15-128-gb-siyah-p-HBCV00004X9ZCH
iPhone 15 128 GB Mavi,4919,https://www.hepsiburada.com/iphone-15-128-gb-mavi-p-HBCV00004X9ZCK
iPhone 15 128 GB Pembe,4919,https://www.hepsiburada.com/iphone-15-128-gb-pembe-p-HBCV00004X9ZCI
iPhone 15 128 GB,4919,https://www.hepsiburada.com/iphone-15-128-gb-p-HBCV00004X9ZCL
iPhone 15 128 GB Sarı,4919,https://www.hepsiburada.com/iphone-15-128-gb-sari-p-HBCV00004X9ZCJ
Samsung Galaxy M34 5G 6 GB 128 GB (Samsung Türkiye Garantili),4903,https://www.hepsiburada.com/samsung-galaxy-m34-5g-6-gb-128-gb-samsung-turkiye-garantili-p-HBCV00004WO01C
Samsung Galaxy M34 5G 6 GB 128 GB (Samsung Türkiye Garantili),4903,https://www.hepsiburada.com/samsung-galaxy-m34-5g-6-gb-128-gb-samsung-turkiye-garantili-p-HBCV00004WO01A
Samsung Galaxy M34 5G 6 GB 128 GB (Samsung Türkiye Garantili),4903,https://www.hepsiburada.com/samsung-galaxy-m34-5g-6-gb-128-gb-samsung-turkiye-garantili-p-HBCV00004WO01B
Samsung Galaxy S20 FE 128 GB Cloud Mint (Samsung Türkiye Garantili) Yeşil,4676,https://www.hepsiburada.com/samsung-galaxy-s20-fe-128-gb-cloud-mint-samsung-turkiye-garantili-yesil-p-HBCV00000Q71QT
Samsung Galaxy S20 FE 128 GB Snapdragon (Samsung Türkiye Garantili) Mavi,4676,https://www.hepsiburada.com/samsung-galaxy-s20-fe-128-gb-snapdragon-samsung-turkiye-garantili-mavi-p-HBCV00000Q71R9
Samsung Galaxy S20 FE 128 GB Snapdragon (Samsung Türkiye Garantili) Kırmızı,4676,https://www.hepsiburada.com/samsung-galaxy-s20-fe-128-gb-snapdragon-samsung-turkiye-garantili-kirmizi-p-HBCV00000Q7262
Samsung Galaxy S20 FE 128 GB Snapdragon (Samsung Türkiye Garantili) Beyaz,4676,https://www.hepsiburada.com/samsung-galaxy-s20-fe-128-gb-snapdragon-samsung-turkiye-garantili-beyaz-p-HBCV00000Q726H
Samsung Galaxy S20 FE 128 GB Snapdragon (Samsung Türkiye Garantili) Mor,4676,https://www.hepsiburada.com/samsung-galaxy-s20-fe-128-gb-snapdragon-samsung-turkiye-garantili-mor-p-HBCV00000Q71PZ
Xiaomi Redmi Note 10S 128 GB 8 GB Ram (Xiaomi Türkiye Garantili) Mavi,4574,https://www.hepsiburada.com/xiaomi-redmi-note-10s-128-gb-8-gb-ram-xiaomi-turkiye-garantili-mavi-p-HBCV00002Z0V85
Xiaomi Redmi Note 10S 128 GB 8 GB Ram (Xiaomi Türkiye Garantili) Gri,4574,https://www.hepsiburada.com/xiaomi-redmi-note-10s-128-gb-8-gb-ram-xiaomi-turkiye-garantili-gri-p-HBCV00002Z0V83
Xiaomi Redmi Note 10S 128 GB 8 GB Ram (Xiaomi Türkiye Garantili) Beyaz,4574,https://www.hepsiburada.com/xiaomi-redmi-note-10s-128-gb-8-gb-ram-xiaomi-turkiye-garantili-beyaz-p-HBCV00002Z0V84
Samsung Galaxy M32 128 GB (Samsung Türkiye Garantili) Beyaz,4536,https://www.hepsiburada.com/samsung-galaxy-m32-128-gb-samsung-turkiye-garantili-beyaz-p-HBCV00000NR6Q0
Samsung Galaxy M32 128 GB (Samsung Türkiye Garantili) Siyah,4536,https://www.hepsiburada.com/samsung-galaxy-m32-128-gb-samsung-turkiye-garantili-siyah-p-HBCV00000NR6PZ
